Genesis
[Genesis 3:16]	הֵֽרֹנֵ֔	הֵרוֹן	pregnancy	
[Genesis 3:19]	זֵעַ֤ת	זֵעָה	sweat	
[Genesis 3:24]	לַ֤הַט	לַ֫הַט	blade	
[Genesis 6:3]	יָד֨וֹן	דון	to stay	
[Genesis 6:14]	גֹ֔פֶר	גֹּ֫פֶר	"gopher", unknown species of tree	
[Genesis 6:14]	כֹּֽפֶר	כֹּ֫פֶר 2	pitch	
[Genesis 6:16]	צֹ֣הַר	צֹ֫הַר	roof; skylight, hatch	
[Genesis 8:22]	קֹ֨ר	קֹר	cold	
[Genesis 9:27]	יַ֤פְתְּ	פתה 2	to open; to make spacious	
[Genesis 11:30]	וָלָֽד	וָלָד	child	
[Genesis 14:5]	שָׁוֵ֖ה	שָׁוֶה	wasteland; plain; Shaveh	
[Genesis 14:14]	חֲנִיכָ֜י	חָנִיךְ	retainer	
[Genesis 15:2]	מֶ֣שֶׁק	מֶ֫שֶׁק	acquisition, possession ?	
[Genesis 18:12]	עֶדְנָ֔ה	עֶדְנָה	lust	
[Genesis 19:29]	הֲפֵכָ֔ה	הֲפֵכָה	destruction	
[Genesis 21:16]	מְטַחֲוֵ֣י	טחה	(pt.) distance (of a bowshot)	
[Genesis 21:20]	רֹבֶ֥ה	רבה 2	(pt.) archer	
[Genesis 21:20]	קַשָּֽׁת	קַשָּׁת	quiver	
[Genesis 22:9]	יַּעֲקֹד֙	עקד	to truss together the legs of an animal for sacrifice	
[Genesis 24:21]	מִשְׁתָּאֵ֖ה	שׁאה 3	to take a close look	
[Genesis 24:63]	שׂ֥וּחַ	שׂוח	to meditate, pray, gossip, walk/stroll/wander about (uncertain)	
[Genesis 25:30]	הַלְעִיטֵ֤	לעט	to swallow; to allow to take a quick drink	
[Genesis 26:12]	שְׁעָרִ֑ים	שַׁ֫עַר 2	weight (of grain)	
[Genesis 26:20]	הִֽתְעַשְּׂק֖וּ	עשׂק	to quarrel with	
[Genesis 27:3]	תֶּלְיְ	תְּלִי	quiver-belt	
[Genesis 28:12]	סֻלָּם֙	סֻלָּם	stepped ramp, flight of steps	
[Genesis 30:8]	נַפְתּוּלֵ֨י	נַפְתּוּלִים	contests	
[Genesis 30:13]	אָשְׁרִ֕	אֹ֫שֶׁר	happiness	
[Genesis 30:20]	זְבָדַ֨	זבד	to endow	
[Genesis 30:20]	זֵ֣בֶד	זֵ֫בֶד	gift	
[Genesis 30:20]	יִזְבְּלֵ֣	זבל	to raise	
[Genesis 30:37]	ל֣וּז	לוּז 1	almond-tree	
[Genesis 30:37]	פְּצָל֣וֹת	פְּצָלוֹת	stripped sections	
[Genesis 30:37]	מַחְשֹׂף֙	מַחְשֹׁף	peeling, stripping	
[Genesis 31:34]	כַ֥ר	כַּר 3	saddlebag	
[Genesis 35:5]	חִתַּ֣ת	חִתָּה	terror	
[Genesis 35:8]	בָּכֽוּת	בָּכוּת	weeping	
[Genesis 36:24]	יֵּמִם֙	יֵמִם	hot springs; alt. vipers	
[Genesis 37:7]	מְאַלְּמִ֤ים	אלם 2	to bind (sheaves)	
[Genesis 38:24]	מִשְׁלֹ֣שׁ	מִשְׁלֹשׁ	three-month period	
[Genesis 38:25]	חֹתֶ֧מֶת	חֹתֶ֫מֶת	signet-ring	
[Genesis 40:11]	אֶשְׂחַ֤ט	שׂחט	to press out	
[Genesis 40:16]	חֹרִ֖י	חֹרִי 1	batch (of white flour)	
[Genesis 41:23]	צְנֻמ֥וֹת	צָנֻם	hard, sterile	
[Genesis 41:43]	אַבְרֵ֑ךְ	אַבְרֵךְ	cry before chariot: "kneel!", "watch out!", "make way!"	
[Genesis 43:11]	בָּטְנִ֖ים	בָּטְנָה	pistachio	
[Genesis 43:12]	מִשְׁגֶּ֖ה	מִשְׁגֶּה	inadvertent offence, transgression	
[Genesis 43:33]	צְעִרָת֑	צְעִירָה	smallness, youth	
[Genesis 45:17]	טַֽעֲנוּ֙	טען 2	to load	
[Genesis 47:12]	טָּֽף	טַף 2	drop	
[Genesis 47:13]	תֵּ֜לַהּ	להה	to languish	
[Genesis 47:26]	חֹ֑מֶשׁ	חֹ֫מֶשׁ 1	fifth (part)	
[Genesis 48:10]	זֹּ֔קֶן	זֹ֫קֶן	old age	
[Genesis 48:14]	שִׂכֵּל֙	שׂכל 2	to lay over cross-wise, exchange, cross	
[Genesis 48:16]	יִדְגּ֥וּ	דגה	to multiply	
[Genesis 49:4]	פַּ֤חַז	פַּ֫חַז	froth	
[Genesis 49:5]	מְכֵרֹתֵי	מְכֵרָה	plan, recommendation	
[Genesis 49:11]	שֹּׂרֵקָ֖ה	שֹׂרֵקָה	noble grape	
[Genesis 49:12]	חַכְלִילִ֥י	חַכְלִיל	sparkling; alt. dull, dark	
